league,season,game,round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
ENG-Championship,2021,2020-10-31 Preston North End-Birmingham City,Championship,9,Sat,2020-10-31,15:00,Preston North End,1–2,Birmingham City,,Deepdale Stadium,Tony Harrington,/en/matches/03c0c80d/Preston-North-End-Birmingham-City-October-31-2020-Championship,,03c0c80d
ENG-Championship,2021,2020-10-31 QPR-Cardiff City,Championship,9,Sat,2020-10-31,15:00,QPR,3–2,Cardiff City,,Kiyan Prince Foundation Stadium,Andy Woolmer,/en/matches/f85f8b1d/Queens-Park-Rangers-Cardiff-City-October-31-2020-Championship,,f85f8b1d
ENG-Championship,2021,2020-10-31 Stoke City-Rotherham United,Championship,9,Sat,2020-10-31,15:00,Stoke City,1–0,Rotherham United,,Bet365 Stadium,Darren Bond,/en/matches/9a6cc7b9/Stoke-City-Rotherham-United-October-31-2020-Championship,,9a6cc7b9
ENG-Championship,2021,2020-10-31 Swansea City-Blackburn Rovers,Championship,9,Sat,2020-10-31,15:00,Swansea City,2–0,Blackburn Rovers,,Liberty Stadium,Dean Whitestone,/en/matches/7e5f653c/Swansea-City-Blackburn-Rovers-October-31-2020-Championship,,7e5f653c
ENG-Championship,2021,2020-10-31 Wycombe Wanderers-Sheffield Weds,Championship,9,Sat,2020-10-31,15:00,Wycombe Wanderers,1–0,Sheffield Weds,,Adams Park,Keith Stroud,/en/matches/3f6bf49a/Wycombe-Wanderers-Sheffield-Wednesday-October-31-2020-Championship,,3f6bf49a
ENG-Championship,2021,2020-11-03 Blackburn Rovers-Middlesbrough,Championship,10,Tue,2020-11-03,19:45,Blackburn Rovers,0–0,Middlesbrough,,Ewood Park,David Webb,/en/matches/d2938e45/Blackburn-Rovers-Middlesbrough-November-3-2020-Championship,,d2938e45
ENG-Championship,2021,2020-11-03 Brentford-Swansea City,Championship,10,Tue,2020-11-03,19:00,Brentford,1–1,Swansea City,,Brentford Community Stadium,Steve Martin,/en/matches/a3061b69/Brentford-Swansea-City-November-3-2020-Championship,,a3061b69
ENG-Championship,2021,2020-11-03 Cardiff City-Barnsley,Championship,10,Tue,2020-11-03,19:45,Cardiff City,3–0,Barnsley,,Cardiff City Stadium,Dean Whitestone,/en/matches/940ef64b/Cardiff-City-Barnsley-November-3-2020-Championship,,940ef64b
ENG-Championship,2021,2020-11-03 Huddersfield Town-Bristol City,Championship,10,Tue,2020-11-03,19:00,Huddersfield Town,1–2,Bristol City,,The John Smith's Stadium,Peter Bankes,/en/matches/2366d2ce/Huddersfield-Town-Bristol-City-November-3-2020-Championship,,2366d2ce
ENG-Championship,2021,2020-11-03 Norwich City-Millwall,Championship,10,Tue,2020-11-03,19:00,Norwich City,0–0,Millwall,,Carrow Road,Tim Robinson,/en/matches/c3dc09ce/Norwich-City-Millwall-November-3-2020-Championship,,c3dc09ce
ENG-Championship,2021,2020-11-03 Sheffield Weds-Bournemouth,Championship,10,Tue,2020-11-03,19:00,Sheffield Weds,1–0,Bournemouth,,Hillsborough Stadium,Jeremy Simpson,/en/matches/7da24cda/Sheffield-Wednesday-Bournemouth-November-3-2020-Championship,,7da24cda
ENG-Championship,2021,2020-11-04 Birmingham City-Wycombe Wanderers,Championship,10,Wed,2020-11-04,19:45,Birmingham City,1–2,Wycombe Wanderers,,St Andrew's Trillion Trophy Stadium,Joshua Smith,/en/matches/c043538e/Birmingham-City-Wycombe-Wanderers-November-4-2020-Championship,,c043538e
ENG-Championship,2021,2020-11-04 Derby County-QPR,Championship,10,Wed,2020-11-04,19:45,Derby County,0–1,QPR,,iPro Stadium,Gavin Ward,/en/matches/373e8e1f/Derby-County-Queens-Park-Rangers-November-4-2020-Championship,,373e8e1f
ENG-Championship,2021,2020-11-04 Nottingham Forest-Coventry City,Championship,10,Wed,2020-11-04,19:45,Nottingham Forest,2–1,Coventry City,,The City Ground,Geoff Eltringham,/en/matches/e72344b8/Nottingham-Forest-Coventry-City-November-4-2020-Championship,,e72344b8
ENG-Championship,2021,2020-11-04 Reading-Preston North End,Championship,10,Wed,2020-11-04,19:00,Reading,0–3,Preston North End,,Madejski Stadium,John Brooks,/en/matches/e439ebf0/Reading-Preston-North-End-November-4-2020-Championship,,e439ebf0
ENG-Championship,2021,2020-11-04 Rotherham United-Luton Town,Championship,10,Wed,2020-11-04,19:45,Rotherham United,0–1,Luton Town,,New York Stadium,Andy Madley,/en/matches/e5f567a6/Rotherham-United-Luton-Town-November-4-2020-Championship,,e5f567a6
ENG-Championship,2021,2020-11-04 Watford-Stoke City,Championship,10,Wed,2020-11-04,19:00,Watford,3–2,Stoke City,,Vicarage Road Stadium,Andrew Davies,/en/matches/d380c020/Watford-Stoke-City-November-4-2020-Championship,,d380c020
ENG-Championship,2021,2020-11-06 Cardiff City-Bristol City,Championship,11,Fri,2020-11-06,18:00,Cardiff City,0–1,Bristol City,,Cardiff City Stadium,David Webb,/en/matches/70e0c3e5/Cardiff-City-Bristol-City-November-6-2020-Championship,,70e0c3e5
ENG-Championship,2021,2020-11-07 Birmingham City-Bournemouth,Championship,11,Sat,2020-11-07,15:00,Birmingham City,1–3,Bournemouth,,St Andrew's Trillion Trophy Stadium,Jarred Gillett,/en/matches/4d2e8f77/Birmingham-City-Bournemouth-November-7-2020-Championship,,4d2e8f77
ENG-Championship,2021,2020-11-07 Blackburn Rovers-QPR,Championship,11,Sat,2020-11-07,15:00,Blackburn Rovers,3–1,QPR,,Ewood Park,Tim Robinson,/en/matches/eba0d22f/Blackburn-Rovers-Queens-Park-Rangers-November-7-2020-Championship,,eba0d22f
ENG-Championship,2021,2020-11-07 Brentford-Middlesbrough,Championship,11,Sat,2020-11-07,15:00,Brentford,0–0,Middlesbrough,,Brentford Community Stadium,James Linington,/en/matches/e88490bf/Brentford-Middlesbrough-November-7-2020-Championship,,e88490bf
ENG-Championship,2021,2020-11-07 Derby County-Barnsley,Championship,11,Sat,2020-11-07,15:00,Derby County,0–2,Barnsley,,iPro Stadium,Leigh Doughty,/en/matches/113533c7/Derby-County-Barnsley-November-7-2020-Championship,,113533c7
ENG-Championship,2021,2020-11-07 Huddersfield Town-Luton Town,Championship,11,Sat,2020-11-07,15:00,Huddersfield Town,1–1,Luton Town,,The John Smith's Stadium,Oliver Langford,/en/matches/e0960aa1/Huddersfield-Town-Luton-Town-November-7-2020-Championship,,e0960aa1
ENG-Championship,2021,2020-11-07 Norwich City-Swansea City,Championship,11,Sat,2020-11-07,15:00,Norwich City,1–0,Swansea City,,Carrow Road,Darren England,/en/matches/4f094c6f/Norwich-City-Swansea-City-November-7-2020-Championship,,4f094c6f
ENG-Championship,2021,2020-11-07 Nottingham Forest-Wycombe Wanderers,Championship,11,Sat,2020-11-07,15:00,Nottingham Forest,2–0,Wycombe Wanderers,,The City Ground,Matt Donohue,/en/matches/d1718157/Nottingham-Forest-Wycombe-Wanderers-November-7-2020-Championship,,d1718157
ENG-Championship,2021,2020-11-07 Reading-Stoke City,Championship,11,Sat,2020-11-07,12:30,Reading,0–3,Stoke City,,Madejski Stadium,Keith Stroud,/en/matches/78208848/Reading-Stoke-City-November-7-2020-Championship,,78208848
ENG-Championship,2021,2020-11-07 Rotherham United-Preston North End,Championship,11,Sat,2020-11-07,15:00,Rotherham United,2–1,Preston North End,,New York Stadium,Andrew Davies,/en/matches/0b8bb03f/Rotherham-United-Preston-North-End-November-7-2020-Championship,,0b8bb03f
ENG-Championship,2021,2020-11-07 Sheffield Weds-Millwall,Championship,11,Sat,2020-11-07,15:00,Sheffield Weds,0–0,Millwall,,Hillsborough Stadium,Tony Harrington,/en/matches/b9d68822/Sheffield-Wednesday-Millwall-November-7-2020-Championship,,b9d68822
ENG-Championship,2021,2020-11-07 Watford-Coventry City,Championship,11,Sat,2020-11-07,15:00,Watford,3–2,Coventry City,,Vicarage Road Stadium,Simon Hooper,/en/matches/6abfde73/Watford-Coventry-City-November-7-2020-Championship,,6abfde73
ENG-Championship,2021,2020-11-20 Coventry City-Birmingham City,Championship,12,Fri,2020-11-20,19:45,Coventry City,0–0,Birmingham City,,St Andrew's Trillion Trophy Stadium,Oliver Langford,/en/matches/6d15cf97/Coventry-City-Birmingham-City-November-20-2020-Championship,,6d15cf97
ENG-Championship,2021,2020-11-21 Barnsley-Nottingham Forest,Championship,12,Sat,2020-11-21,15:00,Barnsley,2–0,Nottingham Forest,,Oakwell Stadium,Andy Woolmer,/en/matches/0c29de69/Barnsley-Nottingham-Forest-November-21-2020-Championship,,0c29de69
ENG-Championship,2021,2020-11-21 Bournemouth-Reading,Championship,12,Sat,2020-11-21,12:30,Bournemouth,4–2,Reading,,Vitality Stadium,Darren Bond,/en/matches/e87c96f9/Bournemouth-Reading-November-21-2020-Championship,,e87c96f9
ENG-Championship,2021,2020-11-21 Bristol City-Derby County,Championship,12,Sat,2020-11-21,15:00,Bristol City,1–0,Derby County,,Ashton Gate Stadium,Keith Stroud,/en/matches/d7c4f730/Bristol-City-Derby-County-November-21-2020-Championship,,d7c4f730
ENG-Championship,2021,2020-11-21 Luton Town-Blackburn Rovers,Championship,12,Sat,2020-11-21,15:00,Luton Town,1–1,Blackburn Rovers,,Kenilworth Road Stadium,Gavin Ward,/en/matches/7f770f40/Luton-Town-Blackburn-Rovers-November-21-2020-Championship,,7f770f40
ENG-Championship,2021,2020-11-21 Middlesbrough-Norwich City,Championship,12,Sat,2020-11-21,15:00,Middlesbrough,0–1,Norwich City,,Riverside Stadium,Tony Harrington,/en/matches/a85c883d/Middlesbrough-Norwich-City-November-21-2020-Championship,,a85c883d
ENG-Championship,2021,2020-11-21 Millwall-Cardiff City,Championship,12,Sat,2020-11-21,15:00,Millwall,1–1,Cardiff City,,The Den,Graham Scott,/en/matches/8584eb2f/Millwall-Cardiff-City-November-21-2020-Championship,,8584eb2f
ENG-Championship,2021,2020-11-21 Preston North End-Sheffield Weds,Championship,12,Sat,2020-11-21,15:00,Preston North End,1–0,Sheffield Weds,,Deepdale Stadium,David Webb,/en/matches/9cfa7ece/Preston-North-End-Sheffield-Wednesday-November-21-2020-Championship,,9cfa7ece
ENG-Championship,2021,2020-11-21 QPR-Watford,Championship,12,Sat,2020-11-21,15:00,QPR,1–1,Watford,,Kiyan Prince Foundation Stadium,Michael Salisbury,/en/matches/e213e6cf/Queens-Park-Rangers-Watford-November-21-2020-Championship,,e213e6cf
ENG-Championship,2021,2020-11-21 Stoke City-Huddersfield Town,Championship,12,Sat,2020-11-21,15:00,Stoke City,4–3,Huddersfield Town,,Bet365 Stadium,Jarred Gillett,/en/matches/3e7517c3/Stoke-City-Huddersfield-Town-November-21-2020-Championship,,3e7517c3
ENG-Championship,2021,2020-11-21 Swansea City-Rotherham United,Championship,12,Sat,2020-11-21,15:00,Swansea City,1–0,Rotherham United,,Liberty Stadium,Matt Donohue,/en/matches/5391cb15/Swansea-City-Rotherham-United-November-21-2020-Championship,,5391cb15
ENG-Championship,2021,2020-11-21 Wycombe Wanderers-Brentford,Championship,12,Sat,2020-11-21,15:00,Wycombe Wanderers,0–0,Brentford,,Adams Park,Lee Mason,/en/matches/2dc9653c/Wycombe-Wanderers-Brentford-November-21-2020-Championship,,2dc9653c
ENG-Championship,2021,2020-11-24 Barnsley-Brentford,Championship,13,Tue,2020-11-24,19:45,Barnsley,0–1,Brentford,,Oakwell Stadium,Darren Bond,/en/matches/da876490/Barnsley-Brentford-November-24-2020-Championship,,da876490
ENG-Championship,2021,2020-11-24 Bournemouth-Nottingham Forest,Championship,13,Tue,2020-11-24,20:00,Bournemouth,2–0,Nottingham Forest,,Vitality Stadium,Simon Hooper,/en/matches/c00d2ea3/Bournemouth-Nottingham-Forest-November-24-2020-Championship,,c00d2ea3
ENG-Championship,2021,2020-11-24 Luton Town-Birmingham City,Championship,13,Tue,2020-11-24,19:00,Luton Town,1–1,Birmingham City,,Kenilworth Road Stadium,David Webb,/en/matches/4c911c93/Luton-Town-Birmingham-City-November-24-2020-Championship,,4c911c93
ENG-Championship,2021,2020-11-24 Preston North End-Blackburn Rovers,Championship,13,Tue,2020-11-24,19:45,Preston North End,0–3,Blackburn Rovers,,Deepdale Stadium,Tony Harrington,/en/matches/d53e1eca/Preston-North-End-Blackburn-Rovers-November-24-2020-Championship,,d53e1eca
ENG-Championship,2021,2020-11-24 QPR-Rotherham United,Championship,13,Tue,2020-11-24,19:00,QPR,3–2,Rotherham United,,Kiyan Prince Foundation Stadium,Oliver Langford,/en/matches/55f44c4a/Queens-Park-Rangers-Rotherham-United-November-24-2020-Championship,,55f44c4a
ENG-Championship,2021,2020-11-24 Stoke City-Norwich City,Championship,13,Tue,2020-11-24,19:00,Stoke City,2–3,Norwich City,,Bet365 Stadium,Geoff Eltringham,/en/matches/093195ca/Stoke-City-Norwich-City-November-24-2020-Championship,,093195ca
ENG-Championship,2021,2020-11-24 Wycombe Wanderers-Huddersfield Town,Championship,13,Tue,2020-11-24,19:00,Wycombe Wanderers,0–0,Huddersfield Town,,Adams Park,Steve Martin,/en/matches/9a158105/Wycombe-Wanderers-Huddersfield-Town-November-24-2020-Championship,,9a158105
ENG-Championship,2021,2020-11-25 Bristol City-Watford,Championship,13,Wed,2020-11-25,19:45,Bristol City,0–0,Watford,,Ashton Gate Stadium,Dean Whitestone,/en/matches/f7c33e60/Bristol-City-Watford-November-25-2020-Championship,,f7c33e60
ENG-Championship,2021,2020-11-25 Coventry City-Cardiff City,Championship,13,Wed,2020-11-25,19:45,Coventry City,1–0,Cardiff City,,St Andrew's Trillion Trophy Stadium,Jeremy Simpson,/en/matches/c83807e6/Coventry-City-Cardiff-City-November-25-2020-Championship,,c83807e6
ENG-Championship,2021,2020-11-25 Middlesbrough-Derby County,Championship,13,Wed,2020-11-25,19:00,Middlesbrough,3–0,Derby County,,Riverside Stadium,Peter Bankes,/en/matches/a561bef3/Middlesbrough-Derby-County-November-25-2020-Championship,,a561bef3
ENG-Championship,2021,2020-11-25 Millwall-Reading,Championship,13,Wed,2020-11-25,19:00,Millwall,1–1,Reading,,The Den,Leigh Doughty,/en/matches/c71da81a/Millwall-Reading-November-25-2020-Championship,,c71da81a
ENG-Championship,2021,2020-11-25 Swansea City-Sheffield Weds,Championship,13,Wed,2020-11-25,19:45,Swansea City,1–1,Sheffield Weds,,Liberty Stadium,Andy Woolmer,/en/matches/4458721e/Swansea-City-Sheffield-Wednesday-November-25-2020-Championship,,4458721e
ENG-Championship,2021,2020-11-27 Brentford-QPR,Championship,14,Fri,2020-11-27,19:45,Brentford,2–1,QPR,,Brentford Community Stadium,Matt Donohue,/en/matches/8b48c43f/Brentford-Queens-Park-Rangers-November-27-2020-Championship,,8b48c43f
ENG-Championship,2021,2020-11-28 Birmingham City-Millwall,Championship,14,Sat,2020-11-28,15:00,Birmingham City,0–0,Millwall,,St Andrew's Trillion Trophy Stadium,Andy Woolmer,/en/matches/9f40ead8/Birmingham-City-Millwall-November-28-2020-Championship,,9f40ead8
ENG-Championship,2021,2020-11-28 Blackburn Rovers-Barnsley,Championship,14,Sat,2020-11-28,15:00,Blackburn Rovers,2–1,Barnsley,,Ewood Park,Andy Madley,/en/matches/9d0dc987/Blackburn-Rovers-Barnsley-November-28-2020-Championship,,9d0dc987
ENG-Championship,2021,2020-11-28 Cardiff City-Luton Town,Championship,14,Sat,2020-11-28,15:00,Cardiff City,4–0,Luton Town,,Cardiff City Stadium,Joshua Smith,/en/matches/4fc616a0/Cardiff-City-Luton-Town-November-28-2020-Championship,,4fc616a0
ENG-Championship,2021,2020-11-28 Derby County-Wycombe Wanderers,Championship,14,Sat,2020-11-28,15:00,Derby County,1–1,Wycombe Wanderers,,iPro Stadium,Oliver Langford,/en/matches/103ec406/Derby-County-Wycombe-Wanderers-November-28-2020-Championship,,103ec406
ENG-Championship,2021,2020-11-28 Huddersfield Town-Middlesbrough,Championship,14,Sat,2020-11-28,15:00,Huddersfield Town,3–2,Middlesbrough,,The John Smith's Stadium,John Brooks,/en/matches/9eba8ff0/Huddersfield-Town-Middlesbrough-November-28-2020-Championship,,9eba8ff0
ENG-Championship,2021,2020-11-28 Norwich City-Coventry City,Championship,14,Sat,2020-11-28,15:00,Norwich City,1–1,Coventry City,,Carrow Road,Keith Stroud,/en/matches/f5179c0e/Norwich-City-Coventry-City-November-28-2020-Championship,,f5179c0e
ENG-Championship,2021,2020-11-28 Reading-Bristol City,Championship,14,Sat,2020-11-28,12:30,Reading,3–1,Bristol City,,Madejski Stadium,Jeremy Simpson,/en/matches/2401a951/Reading-Bristol-City-November-28-2020-Championship,,2401a951
ENG-Championship,2021,2020-11-28 Rotherham United-Bournemouth,Championship,14,Sat,2020-11-28,15:00,Rotherham United,2–2,Bournemouth,,New York Stadium,Geoff Eltringham,/en/matches/2f3d87a8/Rotherham-United-Bournemouth-November-28-2020-Championship,,2f3d87a8
ENG-Championship,2021,2020-11-28 Sheffield Weds-Stoke City,Championship,14,Sat,2020-11-28,15:00,Sheffield Weds,0–0,Stoke City,,Hillsborough Stadium,Tim Robinson,/en/matches/2c26e3a2/Sheffield-Wednesday-Stoke-City-November-28-2020-Championship,,2c26e3a2
ENG-Championship,2021,2020-11-28 Watford-Preston North End,Championship,14,Sat,2020-11-28,15:00,Watford,4–1,Preston North End,,Vicarage Road Stadium,Jarred Gillett,/en/matches/52ea3f15/Watford-Preston-North-End-November-28-2020-Championship,,52ea3f15
ENG-Championship,2021,2020-11-29 Nottingham Forest-Swansea City,Championship,14,Sun,2020-11-29,12:00,Nottingham Forest,0–1,Swansea City,,The City Ground,Tony Harrington,/en/matches/9404d023/Nottingham-Forest-Swansea-City-November-29-2020-Championship,,9404d023
ENG-Championship,2021,2020-12-01 Birmingham City-Barnsley,Championship,15,Tue,2020-12-01,19:45,Birmingham City,1–2,Barnsley,,St Andrew's Trillion Trophy Stadium,Tony Harrington,/en/matches/dffac2d5/Birmingham-City-Barnsley-December-1-2020-Championship,,dffac2d5
ENG-Championship,2021,2020-12-01 Bournemouth-Preston North End,Championship,15,Tue,2020-12-01,19:45,Bournemouth,2–3,Preston North End,,Vitality Stadium,Gavin Ward,/en/matches/d583a848/Bournemouth-Preston-North-End-December-1-2020-Championship,,d583a848
ENG-Championship,2021,2020-12-01 Cardiff City-Huddersfield Town,Championship,15,Tue,2020-12-01,19:00,Cardiff City,3–0,Huddersfield Town,,Cardiff City Stadium,Kevin Friend,/en/matches/cb5ec958/Cardiff-City-Huddersfield-Town-December-1-2020-Championship,,cb5ec958
ENG-Championship,2021,2020-12-01 Derby County-Coventry City,Championship,15,Tue,2020-12-01,19:45,Derby County,1–1,Coventry City,,iPro Stadium,Dean Whitestone,/en/matches/97687843/Derby-County-Coventry-City-December-1-2020-Championship,,97687843
ENG-Championship,2021,2020-12-01 QPR-Bristol City,Championship,15,Tue,2020-12-01,19:45,QPR,1–2,Bristol City,,Kiyan Prince Foundation Stadium,James Linington,/en/matches/51cff0de/Queens-Park-Rangers-Bristol-City-December-1-2020-Championship,,51cff0de
ENG-Championship,2021,2020-12-01 Rotherham United-Brentford,Championship,15,Tue,2020-12-01,20:00,Rotherham United,0–2,Brentford,,New York Stadium,Tim Robinson,/en/matches/c1bdfe50/Rotherham-United-Brentford-December-1-2020-Championship,,c1bdfe50
ENG-Championship,2021,2020-12-02 Blackburn Rovers-Millwall,Championship,15,Wed,2020-12-02,19:45,Blackburn Rovers,2–1,Millwall,,Ewood Park,Michael Salisbury,/en/matches/5efbf7f4/Blackburn-Rovers-Millwall-December-2-2020-Championship,,5efbf7f4
ENG-Championship,2021,2020-12-02 Luton Town-Norwich City,Championship,15,Wed,2020-12-02,19:45,Luton Town,3–1,Norwich City,1000,Kenilworth Road Stadium,Darren England,/en/matches/23076dd8/Luton-Town-Norwich-City-December-2-2020-Championship,,23076dd8
ENG-Championship,2021,2020-12-02 Middlesbrough-Swansea City,Championship,15,Wed,2020-12-02,19:00,Middlesbrough,2–1,Swansea City,,Riverside Stadium,Keith Stroud,/en/matches/d4479e00/Middlesbrough-Swansea-City-December-2-2020-Championship,,d4479e00
ENG-Championship,2021,2020-12-02 Nottingham Forest-Watford,Championship,15,Wed,2020-12-02,19:45,Nottingham Forest,0–0,Watford,,The City Ground,David Webb,/en/matches/cae96301/Nottingham-Forest-Watford-December-2-2020-Championship,,cae96301
ENG-Championship,2021,2020-12-02 Sheffield Weds-Reading,Championship,15,Wed,2020-12-02,19:45,Sheffield Weds,1–1,Reading,,Hillsborough Stadium,Oliver Langford,/en/matches/93ed33a6/Sheffield-Wednesday-Reading-December-2-2020-Championship,,93ed33a6
ENG-Championship,2021,2020-12-02 Wycombe Wanderers-Stoke City,Championship,15,Wed,2020-12-02,19:45,Wycombe Wanderers,0–1,Stoke City,,Adams Park,Darren Bond,/en/matches/3edeb1db/Wycombe-Wanderers-Stoke-City-December-2-2020-Championship,,3edeb1db
ENG-Championship,2021,2020-12-04 Barnsley-Bournemouth,Championship,16,Fri,2020-12-04,17:30,Barnsley,0–4,Bournemouth,,Oakwell Stadium,Keith Stroud,/en/matches/bc3aca30/Barnsley-Bournemouth-December-4-2020-Championship,,bc3aca30
ENG-Championship,2021,2020-12-05 Brentford-Blackburn Rovers,Championship,16,Sat,2020-12-05,15:00,Brentford,2–2,Blackburn Rovers,2000,Brentford Community Stadium,Oliver Langford,/en/matches/775d2b6a/Brentford-Blackburn-Rovers-December-5-2020-Championship,,775d2b6a
ENG-Championship,2021,2020-12-05 Bristol City-Birmingham City,Championship,16,Sat,2020-12-05,15:00,Bristol City,0–1,Birmingham City,,Ashton Gate Stadium,John Brooks,/en/matches/ad586cc2/Bristol-City-Birmingham-City-December-5-2020-Championship,,ad586cc2
ENG-Championship,2021,2020-12-05 Coventry City-Rotherham United,Championship,16,Sat,2020-12-05,15:00,Coventry City,3–1,Rotherham United,,St Andrew's Trillion Trophy Stadium,David Webb,/en/matches/0c955152/Coventry-City-Rotherham-United-December-5-2020-Championship,,0c955152
ENG-Championship,2021,2020-12-05 Huddersfield Town-QPR,Championship,16,Sat,2020-12-05,15:00,Huddersfield Town,2–0,QPR,,The John Smith's Stadium,Dean Whitestone,/en/matches/b6b4426c/Huddersfield-Town-Queens-Park-Rangers-December-5-2020-Championship,,b6b4426c
ENG-Championship,2021,2020-12-05 Millwall-Derby County,Championship,16,Sat,2020-12-05,15:00,Millwall,0–1,Derby County,2000,The Den,Darren England,/en/matches/b70549c8/Millwall-Derby-County-December-5-2020-Championship,,b70549c8
ENG-Championship,2021,2020-12-05 Norwich City-Sheffield Weds,Championship,16,Sat,2020-12-05,15:00,Norwich City,2–1,Sheffield Weds,2000,Carrow Road,Jarred Gillett,/en/matches/788f178d/Norwich-City-Sheffield-Wednesday-December-5-2020-Championship,,788f178d
ENG-Championship,2021,2020-12-05 Preston North End-Wycombe Wanderers,Championship,16,Sat,2020-12-05,15:00,Preston North End,2–2,Wycombe Wanderers,,Deepdale Stadium,James Linington,/en/matches/fc147ad0/Preston-North-End-Wycombe-Wanderers-December-5-2020-Championship,,fc147ad0
ENG-Championship,2021,2020-12-05 Reading-Nottingham Forest,Championship,16,Sat,2020-12-05,12:30,Reading,2–0,Nottingham Forest,2000,Madejski Stadium,Gavin Ward,/en/matches/c54930a8/Reading-Nottingham-Forest-December-5-2020-Championship,,c54930a8
ENG-Championship,2021,2020-12-05 Stoke City-Middlesbrough,Championship,16,Sat,2020-12-05,15:00,Stoke City,1–0,Middlesbrough,,Bet365 Stadium,Jeremy Simpson,/en/matches/4292c27f/Stoke-City-Middlesbrough-December-5-2020-Championship,,4292c27f
ENG-Championship,2021,2020-12-05 Swansea City-Luton Town,Championship,16,Sat,2020-12-05,15:00,Swansea City,2–0,Luton Town,,Liberty Stadium,Leigh Doughty,/en/matches/f48f80e7/Swansea-City-Luton-Town-December-5-2020-Championship,,f48f80e7
ENG-Championship,2021,2020-12-05 Watford-Cardiff City,Championship,16,Sat,2020-12-05,15:00,Watford,0–1,Cardiff City,1973,Vicarage Road Stadium,Steve Martin,/en/matches/aa3b11ce/Watford-Cardiff-City-December-5-2020-Championship,,aa3b11ce
ENG-Championship,2021,2020-12-08 Coventry City-Luton Town,Championship,17,Tue,2020-12-08,19:45,Coventry City,0–0,Luton Town,,St Andrew's Trillion Trophy Stadium,Andy Woolmer,/en/matches/e56d7c36/Coventry-City-Luton-Town-December-8-2020-Championship,,e56d7c36
ENG-Championship,2021,2020-12-08 Huddersfield Town-Sheffield Weds,Championship,17,Tue,2020-12-08,19:45,Huddersfield Town,2–0,Sheffield Weds,,The John Smith's Stadium,Keith Stroud,/en/matches/3a748118/Huddersfield-Town-Sheffield-Wednesday-December-8-2020-Championship,,3a748118
ENG-Championship,2021,2020-12-08 Millwall-QPR,Championship,17,Tue,2020-12-08,19:45,Millwall,1–1,QPR,2000,The Den,Jarred Gillett,/en/matches/b44b9994/Millwall-Queens-Park-Rangers-December-8-2020-Championship,,b44b9994
ENG-Championship,2021,2020-12-08 Stoke City-Cardiff City,Championship,17,Tue,2020-12-08,19:45,Stoke City,1–2,Cardiff City,,Bet365 Stadium,Tony Harrington,/en/matches/36c5c68a/Stoke-City-Cardiff-City-December-8-2020-Championship,,36c5c68a
ENG-Championship,2021,2020-12-08 Swansea City-Bournemouth,Championship,17,Tue,2020-12-08,19:45,Swansea City,0–0,Bournemouth,,Liberty Stadium,Peter Bankes,/en/matches/021acf91/Swansea-City-Bournemouth-December-8-2020-Championship,,021acf91
ENG-Championship,2021,2020-12-08 Watford-Rotherham United,Championship,17,Tue,2020-12-08,19:45,Watford,2–0,Rotherham United,1976,Vicarage Road Stadium,Gavin Ward,/en/matches/d9c6b3a4/Watford-Rotherham-United-December-8-2020-Championship,,d9c6b3a4
ENG-Championship,2021,2020-12-09 Barnsley-Wycombe Wanderers,Championship,17,Wed,2020-12-09,19:45,Barnsley,2–1,Wycombe Wanderers,,Oakwell Stadium,Geoff Eltringham,/en/matches/81e1251d/Barnsley-Wycombe-Wanderers-December-9-2020-Championship,,81e1251d
ENG-Championship,2021,2020-12-09 Brentford-Derby County,Championship,17,Wed,2020-12-09,19:45,Brentford,0–0,Derby County,2000,Brentford Community Stadium,David Webb,/en/matches/24dbe71c/Brentford-Derby-County-December-9-2020-Championship,,24dbe71c
ENG-Championship,2021,2020-12-09 Bristol City-Blackburn Rovers,Championship,17,Wed,2020-12-09,19:45,Bristol City,1–0,Blackburn Rovers,,Ashton Gate Stadium,Steve Martin,/en/matches/b82dab2f/Bristol-City-Blackburn-Rovers-December-9-2020-Championship,,b82dab2f
ENG-Championship,2021,2020-12-09 Norwich City-Nottingham Forest,Championship,17,Wed,2020-12-09,19:45,Norwich City,2–1,Nottingham Forest,,Carrow Road,Darren Bond,/en/matches/84f6a8dd/Norwich-City-Nottingham-Forest-December-9-2020-Championship,,84f6a8dd
ENG-Championship,2021,2020-12-09 Preston North End-Middlesbrough,Championship,17,Wed,2020-12-09,19:00,Preston North End,3–0,Middlesbrough,,Deepdale Stadium,Andy Madley,/en/matches/b94e20be/Preston-North-End-Middlesbrough-December-9-2020-Championship,,b94e20be
ENG-Championship,2021,2020-12-09 Reading-Birmingham City,Championship,17,Wed,2020-12-09,19:45,Reading,1–2,Birmingham City,,Madejski Stadium,Tim Robinson,/en/matches/d82c2ed9/Reading-Birmingham-City-December-9-2020-Championship,,d82c2ed9
ENG-Championship,2021,2020-12-12 Birmingham City-Watford,Championship,18,Sat,2020-12-12,15:00,Birmingham City,0–1,Watford,,St Andrew's Trillion Trophy Stadium,Matt Donohue,/en/matches/728c2eb3/Birmingham-City-Watford-December-12-2020-Championship,,728c2eb3
